url,title,summary
https://www.nhk.or.jp/rss/news/cat0.xml,工事現場で爆発か 1人搬送 別の1人マンホールの中か 東京,警視庁と東京消防庁によりますと、6日午前11時すぎ、東京・江戸川区の東京都水道局の工事現場で爆発があったと通報があり、男性作業員1人が病院に運ばれたということです。また、男性と一緒に作業していた別の作業員1人がマンホールの中に閉じ込められているという情報があり、警視庁などが確認を進めています。
https://www.nhk.or.jp/rss/news/cat0.xml,園児虐待 元保育士逮捕で臨時休園の保育園が再開 静岡 裾野,静岡県裾野市の保育園で、元保育士3人が園児に虐待をしたとして暴行の疑いで逮捕された事件を受けて、臨時休園になっていた保育園がきょうから再開し、保護者からは子どもたちへの影響を懸念する声が聞かれました。
https://www.nhk.or.jp/rss/news/cat0.xml,ワールドカップ 日本対クロアチア PK戦で敗れベスト8ならず,サッカーワールドカップカタール大会、日本は決勝トーナメント1回戦で前回大会準優勝のクロアチアと対戦し、ペナルティーキック戦の末に敗れて、初のベスト8進出はなりませんでした。（※森保監督・選手の談話、試合経過詳細は記事後半に）
https://www.nhk.or.jp/rss/news/cat0.xml,保育士の園児暴行事件受け全国の保育現場など実態調査を検討へ,静岡県裾野市の保育園の元保育士3人が園児への暴行の疑いで逮捕された事件を受けて、加藤厚生労働大臣は早急に全国の自治体や保育現場に注意喚起を行うとともに、実態調査を検討する考えを示しました。
https://www.nhk.or.jp/rss/news/cat0.xml,日本代表 結束力強めた “ベテランの存在” ワールドカップ,「ベスト8に向けて全員が一つになってやれている」「チームが一つになって一致団結して1次リーグを突破できた。すごくいい雰囲気だし試合が楽しみだ」日本サッカー史上初のベスト8進出がかかった大一番、クロアチア戦を控えた選手たちのコメントです。チームに強い一体感が生まれていたことがわかります。この一体感はどうやって生まれたのか。そこには、経験豊富なベテラン、川島永嗣選手の存在がありました。
https://www.nhk.or.jp/rss/news/cat0.xml,民族衣装やゆしたブログ削除「配慮欠いた表現」杉田総務政務官,杉田総務政務官は、民族衣装をやゆするなどした6年前のブログの記事について「配慮を欠いた表現を反省している」としたうえで、すでに削除したことを明らかにしました。
https://www.nhk.or.jp/rss/news/cat0.xml,プーチン大統領 クリミアの橋を訪問 支配維持の姿勢を強調か,ロシアのプーチン大統領は5日、ことし10月に爆発があったウクライナ南部のクリミアにつながる橋を訪れました。ロシア軍の補給路ともなっていた橋の復旧を急ぎ、ウクライナが奪還を目指すとしているクリミアの支配を維持する姿勢を強調するねらいもあるとみられます。
