url,title,summary
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: Rampant Brazil cruise past South Korea to reach quarter-finals,"First-half goals from Vinicius Jr, Neymar, Richarlison and Lucas Paqueta book Brazil's place in the quarter-finals of the World Cup after a dominant 4-1 victory over South Korea."
http://feeds.bbci.co.uk/news/rss.xml,"World Cup 2022: Flicks, tricks & dancing as Brazil turn on style against South Korea",Watch as Brazil put on a scintillating display of football and dancing during their 4-1 victory over South Korea.
http://feeds.bbci.co.uk/news/rss.xml,Warren Gatland: Returning head coach says his Wales legacy is on the line,Warren Gatland says he is putting his legacy on the line by agreeing to become Wales coach for a second time as he replaces Wayne Pivac.
http://feeds.bbci.co.uk/news/rss.xml,Pakistan v England: Captain Ben Stokes says first-Test win is 'mind-blowing',"Captain Ben Stokes says England's last-gasp victory over Pakistan in the first Test is ""mind-blowing""."
http://feeds.bbci.co.uk/news/rss.xml,Alice Capsey: England all-rounder out of West Indies tour with broken collarbone,England all-rounder Alice Capsey is ruled out of the rest of the West Indies tour with a broken collarbone.
http://feeds.bbci.co.uk/news/rss.xml,Nirbhaya 10 years on: The lives the Delhi gang rape changed,A horrific gang rape and murder shocked the world in 2012 - has anything changed for women in India?
http://feeds.bbci.co.uk/news/rss.xml,"'It started with a protest, but a revolution is taking shape': BBC identifies many more people killed in Iran’s protests","BBC journalists have been able to identify more people killed in Iran, and research confirmed that high numbers come from ethnic minority groups."
http://feeds.bbci.co.uk/news/rss.xml,BBC 100 Women marks 10th year with focus on progress,The innovative BBC season reflects on a decade of change in a tumultuous year which has seen women taking centre stage.
http://feeds.bbci.co.uk/news/rss.xml,'They allow us to name something we know is wrong': The new words defining sexual abuse,"From stealthing to downblousing, the coining of specific terms is allowing women around the world to share experiences of abuse that have traditionally gone unrecognised - but what is actually changing?"
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: Brazil put down the biggest marker at Qatar tournament,"Brazil's dominant performance against Croatia in the last 16 of the World Cup is the biggest indicator of their prowess during this year's tournament, writes Phil McNulty."
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: Croatia ‘experience tells’ on penalties but heartbreak again for Japan,Croatia's experience tells as they win on penalties but it is heartbreak again for Japan in the World Cup last 16.
http://feeds.bbci.co.uk/news/rss.xml,The World Cup coach chatting to fans on Twitch,"Before Spain's World Cup last-16 tie against Morocco, Spanish football expert Guillem Balague takes a look inside the world of coach Luis Enrique."
http://feeds.bbci.co.uk/news/rss.xml,Uruguay and four players face Fifa disciplinaries,Fifa opens disciplinary proceedings against Uruguay's FA and four players over their conduct at the end of their final World Cup group game against Ghana.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: What you need to know about England's quarter-final with France,England face France in a mouth-watering World Cup quarter-final on Saturday - here's all the key details.
http://feeds.bbci.co.uk/news/rss.xml,Jude Bellingham - the player and 'wonderful human being',The 19-year-old midfielder celebrated England's 3-0 win with his parents Mark and Denise.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: England boss Gareth Southgate looking forward to 'acid test' against France,"England manager Gareth Southgate praised his side's ""ruthless"" display against Senegal that sets up an ""acid test"" game against defending champions France in the World Cup quarter-finals."
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: France's Kylian Mbappe upstages Olivier Giroud after goalscoring record,"Olivier Giroud becomes France's all-time top scorer, but he is upstaged by the performance of Kylian Mbappe in their last-16 win over Poland."
http://feeds.bbci.co.uk/news/rss.xml,France await 'explosive and tempting' quarter-final,"Explosive, tempting, shocking - the French newspapers have gone heavy on the adjectives as they await a World Cup quarter-final against England."
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: 'I was ecstatic at the end' - England fans celebrate win,Football fans turned out in droves across England to watch the Three Lions triumph over Senegal.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: Harry Kane scores England's second against Senegal,England captain Harry Kane scores his first goal of the 2022 World Cup to double their lead against Senegal in the last 16.
http://feeds.bbci.co.uk/news/rss.xml,World Cup 2022: England 3-0 Senegal - 'Gareth Southgate's critics must admit he got it spot on again',Why England's emphatic win over Senegal to set up a World Cup quarter-final with France was more proof of Gareth Southgate's sure touch in team selection.
