url,title,summary
http://feeds.bbci.co.uk/news/rss.xml,PMQ: Rishi Sunak 'shocked' by allegations about Tory peer Mone,"Rishi Sunak says it is ""right"" that the peer has taken a leave of absence from the House of Lords."
http://feeds.bbci.co.uk/news/rss.xml,Germany arrests 25 accused of plotting coup,A far-right group is suspected of planning to storm parliament and install an aristocrat as leader.
http://feeds.bbci.co.uk/news/rss.xml,UK weather: People urged to heat main rooms as cold snap begins,Health officials advise warming living rooms in the day and bedrooms at night in the cold spell.
http://feeds.bbci.co.uk/news/rss.xml,Raheem Sterling: Arrests made after England star's break-in,"The star's family found jewellery and watches stolen when they returned home to Oxshott, Surrey."
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: House prices drop by 2.3% in a month - Halifax,The mortgage lender says the annual rate of growth in property prices fell from 8.2% to 4.7%.
http://feeds.bbci.co.uk/news/rss.xml,Harry and Meghan: 'A ripple of hope can turn into a wave of change',The couple were honoured in New York for their racial justice and mental health work.
http://feeds.bbci.co.uk/news/rss.xml,"Antibiotics for strep A in good supply, says health secretary Steve Barclay",But pharmacies say they are having to work hard to obtain stocks and some lines are unavailable.
http://feeds.bbci.co.uk/news/rss.xml,China abandons key parts of zero-Covid strategy after protests,Officials say asymptomatic and mild cases will no longer be forced into state quarantine centres.
http://feeds.bbci.co.uk/news/rss.xml,Bill designed to raise education standards axed,"A bill designed to ""raise education standards"" in England has been dropped, Gillian Keegan says."
http://feeds.bbci.co.uk/news/rss.xml,Taliban conduct first public execution since return to power,The execution is carried out before a crowded sports stadium after the man confesses to murder.
http://feeds.bbci.co.uk/news/rss.xml,Group of friends find rare 100-million-year-old fossil,The 100-million-year-old fossil is the first such find in Australia to have a complete head and body.
http://feeds.bbci.co.uk/news/rss.xml,Winter weather: Keeping costs down when it's cold,"As energy bills rise and temperatures fall, there are extra payments available."
http://feeds.bbci.co.uk/news/rss.xml,Can I get a Cold Weather Payment and how much are they?,Cold Weather Payments are available to some if temperatures stay low.
http://feeds.bbci.co.uk/news/rss.xml,Home insulation: How can it cut energy bills?,Better home insulation could save some households hundreds of pounds a year on their energy bills.
http://feeds.bbci.co.uk/news/rss.xml,Cost of living: Expanded energy bill discount scheme under way,A bigger rebate under the Warm Home Discount begins but concerns remain some are missing out.
http://feeds.bbci.co.uk/news/rss.xml,Five ways to spend and waste less this Christmas,"Experts give tips on how to make your Christmas cheaper, greener and just as joyful."
http://feeds.bbci.co.uk/news/rss.xml,Cost of Living: How to have a Christmas party on a budget,"With money tight, there are ways you can organise a Christmas party without the financial hangover."
http://feeds.bbci.co.uk/news/rss.xml,How to cut your energy bills,"Energy bills have gone up, but there are some easy ways households can reduce costs."
