url,title,summary
https://www.nhk.or.jp/rss/news/cat0.xml,悪質な寄付を規制する法案が成立へ 被害者をどこまで救える？,旧統一教会をめぐる問題で、悪質な勧誘による高額な寄付などによって家庭が困窮したり崩壊したりする事例が相次いで報告されています。こうした悪質な寄付を未然に防止し、被害の拡大をふせぎ、救済につなげるため、政府はこの臨時国会で、寄付に関する新たな法案や関連する改正案を異例とも言えるスピードで成立させることを目指しています。今回の法案が成立することで何が変わるのか。被害者をどこまで救えるのか。8日に衆議院で可決された法案のポイントを見てみます。
https://www.nhk.or.jp/rss/news/cat0.xml,ドイツ “貴族”裁判官など25人逮捕 国家転覆と独自政府計画か,「ハインリヒ13世」を名乗る男。いったい、どのような人物なのでしょうか。ドイツの連邦検察は、国内のテロ組織に関わっていたとして「ハインリヒ13世」を名乗る貴族の家系出身とみられる男や現職の裁判官など25人を逮捕しました。検察は、男らが国家の転覆と独自の政府の樹立を企てていた疑いがあるとみて組織の実態解明に向けて捜査を進めています。
https://www.nhk.or.jp/rss/news/cat0.xml,岸田首相 防衛費増額めぐり与党に増税検討を要請,防衛費の増額をめぐり、岸田総理大臣は5年後の2027年度にGDPの2％に達する予算措置を講じ、その後も水準を維持するためには歳出削減などを行っても毎年度1兆円を超える財源が不足するとして、与党に対し、年末までに税目や施行時期を含めて増税を検討するよう求めました。
https://www.nhk.or.jp/rss/news/cat0.xml,プーチン大統領“核戦争脅威高まる” 軍事侵攻の長期化を示唆,ロシアのプーチン大統領は、核戦争の脅威が高まっているという認識を示し、ウクライナへの軍事支援を続ける欧米をけん制しました。一方、ウクライナへの軍事侵攻をめぐっては「長いプロセスになるだろう」と述べ、さらなる長期化を示唆しました。
https://www.nhk.or.jp/rss/news/cat0.xml,新型コロナ 保健所 “紙の山”との闘い,新型コロナウイルスとの闘いの舞台のひとつ、保健所。感染者の届け出の管理から健康観察、入院調整にいたるまで幅広い役割を担い、想定を上回る感染者の増加に業務が追いつかない事態がたびたび課題になりました。改めて振り返ると、デジタル化を乗り越えることの大切さが見えてきました。（奈良放送局 記者 及川佑子）
https://www.nhk.or.jp/rss/news/cat0.xml,保育園児暴行 県と市が保護者全員にアンケート調査へ 静岡,静岡県裾野市の保育園の元保育士3人が、園児への暴行の疑いで逮捕された事件で、県と市は、特別監査の一環として保育園の保護者全員に9日にもアンケートを送り、子どもの様子に気になる点がなかったどうか調べることにしています。
https://www.nhk.or.jp/rss/news/cat0.xml,名古屋 女子大生死亡 一緒にホテル滞在 男女3人逮捕 殺人疑い,6日、名古屋市のホテルの部屋で、20歳の大学生の女性が頭に袋のようなものをかぶった状態で死亡しているのが見つかった事件で、警察は女性と一緒にホテルに滞在していた男女3人を殺人の疑いで逮捕しました。警察は死亡のいきさつや4人の関係性など捜査を進めています。
